date,close,volume,open,high,low
43259,191.7,26580710,191.17,192,189.77
43258,193.46,21329170,194.14,194.2,192.335
43257,193.98,20912820,193.63,194.08,191.92
43256,193.31,21535570,193.065,193.94,192.36
43255,191.83,26190620,191.635,193.42,191.35
43252,190.24,23377690,187.991,190.26,187.75
43251,186.87,27468700,187.22,188.23,186.14
43250,187.5,18503410,187.72,188,186.78
43249,187.9,22409110,187.6,188.75,186.87
43245,188.58,17186760,188.23,189.65,187.65
43244,188.15,23129400,188.77,188.84,186.21
43243,188.36,19966590,186.35,188.5,185.76
43242,187.16,15228270,188.375,188.88,186.78
43241,187.63,18383080,188,189.27,186.9106
43238,186.31,18083080,187.19,187.8102,186.13
43237,186.99,17014490,188,188.91,186.36
43236,188.18,19046600,186.07,188.46,186
43235,186.44,23639070,186.78,187.07,185.1
43234,188.15,20393070,189.01,189.53,187.86
43231,188.59,26167950,189.49,190.06,187.45
43230,190.04,27942430,187.74,190.37,187.65
43229,187.36,23141260,186.55,187.4,185.22
43228,186.05,28053230,184.99,186.22,183.665
43227,185.16,42557530,185.18,187.67,184.75
43224,183.83,56137230,178.25,184.25,178.17
43223,176.89,33944110,175.88,177.5,174.4411
43222,176.57,66454720,175.225,177.75,173.8
43221,169.1,52228910,166.41,169.2,165.27
43220,165.26,41976500,162.13,167.26,161.84
43217,162.32,35617230,164,164.33,160.63
43216,164.22,27850370,164.12,165.73,163.37
43215,163.65,28331540,162.62,165.42,162.41
43214,162.94,33674960,165.67,166.33,161.2201
43213,165.24,36396590,166.835,166.92,164.09
43210,165.72,65270950,170.595,171.2184,165.43
43209,172.8,34693280,174.95,175.39,172.66
43208,177.84,20544600,177.81,178.82,176.88
43207,178.24,26575010,176.49,178.9365,176.41
43206,175.82,21561320,175.0301,176.19,174.8301
43203,174.73,25100510,174.78,175.84,173.85
43202,174.14,22858840,173.41,175,173.04
43201,172.44,22401040,172.23,173.9232,171.7
43200,173.25,28567110,173,174,171.53
43199,170.05,28976200,169.88,173.09,169.845
43196,168.38,34949690,170.97,172.48,168.2
43195,172.8,26750260,172.58,174.2304,172.08
43194,171.61,34581850,164.88,172.01,164.77
43193,168.39,30237640,167.64,168.7455,164.88
43192,166.68,37425640,167.88,168.94,164.47
43188,167.78,38116290,167.805,171.75,166.9
